source_file,annotator,sentence_id,sentence_text,token,start,stop,event_bio,event_bio_2,pmode_bio,pmode_bio_2
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",Quando,0,6,B-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",Gregor,7,13,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",Samsa,14,19,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",una,20,23,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",mattina,24,31,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",nel,32,35,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",suo,36,39,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",letto,40,45,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",si,46,48,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",svegliò,49,56,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",da,57,59,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",sogni,60,65,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",inquieti,66,74,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",",",74,75,O,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",si,76,78,B-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",ritrovò,79,86,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",trasformato,87,98,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",in,99,101,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",un,102,104,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",immane,105,111,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",insetto,112,119,I-change_of_state,O,O,O
Metamorfosi.txt,CURATION_USER,1,"Quando Gregor Samsa una mattina nel suo letto si svegliò da sogni inquieti, si ritrovò trasformato in un immane insetto.",.,119,120,O,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",Era,121,124,B-process,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",steso,125,130,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",sul,131,134,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",dorso,135,140,I-process,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",",",140,141,O,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",duro,142,146,B-stative_event,O,O,O
Metamorfosi.txt,CURATION_USER,2,"Era steso sul dorso, duro come una corazza, e levando un poco la testa scorgeva, diviso da nervature arcuate, il suo ventre bruno e prominente in cima al quale la coperta, ormai in procinto di scivolare a terra, si reggeva appena.",come,147,151,I-stative_event,O,O,O
