source_file,annotator,sentence_id,sentence_text,token,start,stop,event_bio,event_bio_2,pmode_bio,pmode_bio_2
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,Franz,0,5,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,Kafka,6,11,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,:,11,12,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,DIE,13,16,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,VERWANDLUNG,17,28,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,I,30,31,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,1,Franz Kafka: DIE VERWANDLUNG  I.,.,31,32,O,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,2,"Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt.",Als,34,37,B-change_of_state,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,2,"Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt.",Gregor,38,44,I-change_of_state,O,O,O
metamorphosis,CURATION_USER_Kafka_Franz_Die_Verwandlung,2,"Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt.",Samsa,45,50,I-change_of_state,O,O,O
